file_name,url,doc_type
Antragsformulare,https://www.xn--bafg-7qa.de/bafoeg/de/antrag-stellen/alle-antragsformulare/alle-antragsformulare_node.html,TXT
Fragen_und_Antworten,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/fragen-und-antworten/fragen-und-antworten_node.html,TXT
gibt-es-bafoeg-auch-im-ausland,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/gibt-es-bafoeg-auch-im-ausland/gibt-es-bafoeg-auch-im-ausland.html,TXT
gibt-es-bafoeg-auch-nach-einem-fachrichtungswechsel,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/gibt-es-bafoeg-auch-nach-einem-fachrichtungswechsel/gibt-es-bafoeg-auch-nach-einem-fachrichtungswechsel.html,TXT
gibt-es-eine-altersgrenze,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/gibt-es-eine-altersgrenze/gibt-es-eine-altersgrenze.html,TXT
koennen-mehrere-ausbildungen-mit-bafoeg-gefoerdert-werden,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/koennen-mehrere-ausbildungen-mit-bafoeg-gefoerdert-werden/koennen-mehrere-ausbildungen-mit-bafoeg-gefoerdert-werden.html,TXT
Leistungsbeschreibung,https://www.bafoeg-digital.de/page.xhtml?view=/BAFOEG/leistungsbeschreibung.xhtml,TXT
studienstarthilfe,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/studienstarthilfe/studienstarthilfe.html,TXT
was-bedeutet-das-flexibilitätssemester,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/was-bedeutet-das-flexibilitätssemester/was-bedeutet-das-flexibilitätssemester.html,TXT
was-ist-die-hilfe-zum-studienabschluss,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/was-ist-die-hilfe-zum-studienabschluss/was-ist-die-hilfe-zum-studienabschluss.html,TXT
wie-funktioniert-die-rueckzahlung,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/wie-funktioniert-die-rueckzahlung/wie-funktioniert-die-rueckzahlung.html,TXT
wie-lange-wird-bafoeg-gezahlt,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/wie-lange-wird-bafoeg-gezahlt/wie-lange-wird-bafoeg-gezahlt.html,TXT
marcel-28-student-auswaerts-wo-nd-maurice-22-fachoberschueler,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/von-hanna-max-und-stefan-beispiele-fuer-bafoeg/marcel-28-student-auswaerts-wo-nd-maurice-22-fachoberschueler/marcel-28-student-auswaerts-wo-nd-maurice-22-fachoberschueler.html,TXT
hanna-24-studentin-auswaerts-wohnend,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/von-hanna-max-und-stefan-beispiele-fuer-bafoeg/hanna-24-studentin-auswaerts-wohnend/hanna-24-studentin-auswaerts-wohnend.html,TXT
olga-19-studentin-mutter-selbstaendig,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/von-hanna-max-und-stefan-beispiele-fuer-bafoeg/olga-19-studentin-mutter-selbstaendig/olga-19-studentin-mutter-selbstaendig.html,TXT
alexa-17-berufsfachschuelerin-auswaerts-wohnend,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/von-hanna-max-und-stefan-beispiele-fuer-bafoeg/alexa-17-berufsfachschuelerin-auswaerts-wohnend/alexa-17-berufsfachschuelerin-auswaerts-wohnend.html,TXT
ferdinand-19-student-studienstarthilfe,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/von-hanna-max-und-stefan-beispiele-fuer-bafoeg/ferdinand-19-student-studienstarthilfe/ferdinand-19-student-studienstarthilfe.html,TXT
von-hanna-max-und-stefan-beispiele-fuer-bafoeg_node,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/von-hanna-max-und-stefan-beispiele-fuer-bafoeg/von-hanna-max-und-stefan-beispiele-fuer-bafoeg_node.html,TXT
was-ist-die-hilfe-zum-studienabschluss_node,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/was-ist-die-hilfe-zum-studienabschluss/was-ist-die-hilfe-zum-studienabschluss_node.html,TXT
einzelfragen-der-foerderung_node,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/einzelfragen-der-foerderung/einzelfragen-der-foerderung_node.html,TXT
wann-bleibt-das-einkommen-der-eltern-unberuecksichtigt,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/foerderungsarten-und-foerderungshoehe/wann-bleibt-das-einkommen-der-eltern-unberuecksichtigt/wann-bleibt-das-einkommen-der-eltern-unberuecksichtigt.html,TXT
wird-vermoegen-angerechnet,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/foerderungsarten-und-foerderungshoehe/wird-vermoegen-angerechnet/wird-vermoegen-angerechnet.html,TXT
elternunabhaengige-foerderung,https://www.xn--bafg-7qa.de/bafoeg/de/antrag-stellen/merkblaetter/elternunabhaengige-foerderung/elternunabhaengige-foerderung.html?nn=384478,TXT
welches-einkommen-wird-angerechnet_node,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/foerderungsarten-und-foerderungshoehe/welches-einkommen-wird-angerechnet/welches-einkommen-wird-angerechnet_node.html,TXT
wie-wird-die-hoehe-des-bafoeg-berechnet,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/foerderungsarten-und-foerderungshoehe/wie-wird-die-hoehe-des-bafoeg-berechnet/wie-wird-die-hoehe-des-bafoeg-berechnet.html,TXT
was-sind-bedarfssaetze-und-wie-hoch-sind-sie,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/foerderungsarten-und-foerderungshoehe/was-sind-bedarfssaetze-und-wie-hoch-sind-sie/was-sind-bedarfssaetze-und-wie-hoch-sind-sie.html,TXT
bafoeg-als-zuschuss-oder-darlehen,https://www.xn--bafg-7qa.de/bafoeg/de/das-bafoeg-alle-infos-auf-einen-blick/foerderungsarten-und-foerderungshoehe/bafoeg-als-zuschuss-oder-darlehen/bafoeg-als-zuschuss-oder-darlehen.html,TXT
Hinweisblatt_zum_Datenschutz,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/hinweisblatt_zum_datenschutz.pdf?__blob=publicationFile&v=4',PDF
formblatt_10_Verlängerung_der_Förderungsdauer_jenseits_der_Förderungshöchstdauer,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_10.pdf?__blob=publicationFile&v=1,PDF
formblatt_9_Folgeantrag_auf_Ausbildungsförderung,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_9.pdf?__blob=publicationFile&v=5,PDF
formblatt_8_Antrag_auf_Vorausleistung,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_8.pdf?__blob=publicationFile&v=5,PDF
formblatt_7_Aktualisierung_des_Einkommens,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_7.pdf?__blob=publicationFile&v=5,PDF
formblatt_6_Ausbildung_im_Ausland,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_6.pdf?__blob=publicationFile&v=7,PDF
formblatt_5_Leistungsbescheinigung_nach_48_BAföG,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_5.pdf?__blob=publicationFile&v=6,PDF
formblatt_4_Kinder_der_auszubildenden_Person,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_4.pdf?__blob=publicationFile&v=7,PDF
formblatt_3_Einkommenserklärung,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_3.pdf?__blob=publicationFile&v=10,PDF
formblatt_2_Bescheinigung_nach_9_BAföG,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_2.pdf?__blob=publicationFile&v=6,PDF
formblatt_1_Antrag_auf_Ausbildungsförderung,https://www.xn--bafg-7qa.de/bafoeg/shareddocs/downloads/formblaetter/v2025/formblatt_1.pdf?__blob=publicationFile&v=7,PDF